idx,qa_key,question,question_type,baseline_label,raw_memory_count,suspected_counterevidence_count,top_suspicion_score,top_suspected_reason
1918,12:8:9,"What was Joseph Garcia's salary when he started his new role at the film archive on January 15, 2026?",Memory Boundary,omission,20,2,6,"shared topic/object tokens: film; negation/contrast cues: left, unemployed; temporal/update cues overlap with question timing"
1920,12:9:1,"How might Joseph Garcia's approach to overcoming challenges influence his career decisions after May 13, 2026?",Generalization & Application,omission,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
1921,12:9:2,"Did Joseph Garcia dislike mobile games with ads as of May 13, 2026?",Memory Conflict,hallucination,20,2,6,"shared topic/object tokens: ads, gam, mobile; negation/contrast cues: dislikes; weak preference contrast"
1922,12:9:3,"Did Joseph Garcia's friend recommend a mobile game that made him dislike ads on May 13, 2026?",Memory Conflict,omission,20,5,7,"shared topic/object tokens: friend, recommend; possible preference polarity reversal"
1924,12:10:2,"Did Joseph Garcia find no connection between synchronized swimming and classic cinema on Dec 21, 2026?",Memory Conflict,omission,20,3,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1925,12:10:3,"What sports preference did Joseph Garcia refine on Dec 21, 2026?",Basic Fact Recall,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1926,12:14:1,"How did Joseph Garcia's salary increase on April 25, 2027, impact his personal projects?",Multi-hop Inference,omission,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
1927,12:14:2,"What role does Anna Smith play in Joseph Garcia's career as of June 10, 2027?",Multi-hop Inference,omission,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
1928,12:14:3,"What collaborative project did Joseph Garcia initiate with Ethan Brown by May 16, 2027?",Multi-hop Inference,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1929,12:14:4,"How does Joseph Garcia manage his chronic health condition while pursuing his career goals as of May 5, 2027?",Multi-hop Inference,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1930,12:14:5,"How might Joseph Garcia's salary increase impact his ability to invest in personal film projects after Apr 25, 2027?",Generalization & Application,omission,20,2,6,"shared topic/object tokens: film; negation/contrast cues: left, unemployed; temporal/update cues overlap with question timing"
1931,12:14:6,"What strategies might Joseph Garcia use to manage stress at work, given his passion for classic films as of May 05, 2027?",Generalization & Application,correct,20,7,9,"shared topic/object tokens: classic, film, passion, work; negation/contrast cues: left, unemployed; temporal/update cues overlap with question timing"
1932,12:14:7,"How might Joseph Garcia leverage his expanded network to achieve his career goals after May 16, 2027?",Generalization & Application,correct,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1933,12:15:1,"What type of clothing might Joseph prefer for a casual outing after July 30, 2027?",Generalization & Application,hallucination,20,3,6,shared topic/object tokens: july; shared entity/name anchor; temporal/update cues overlap with question timing
1934,12:15:2,"What clothing preference did Joseph Garcia reassess on Jul 30, 2027?",Basic Fact Recall,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1935,12:15:3,"Did Joseph Garcia decide to exclusively wear vintage dresses after July 30, 2027?",Memory Conflict,correct,20,3,7,"shared topic/object tokens: garcia, july; shared entity/name anchor; temporal/update cues overlap with question timing"
1936,12:16:1,"What is Joseph Garcia's middle name as of Mar 08, 2028?",Memory Boundary,correct,20,1,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
1937,12:16:2,"What is the specific salary of Joseph Garcia on Mar 08, 2028?",Memory Boundary,correct,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1938,12:16:3,"Did Joseph Garcia attend a creative writing retreat to explore science fiction novels on Mar 08, 2028?",Memory Conflict,omission,20,2,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1939,12:17:1,"Did Joseph Garcia decide to increase his intake of classic cocktails for health reasons on Oct 16, 2028?",Memory Conflict,omission,20,2,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1941,12:17:3,"What is Joseph Garcia's middle name as of Oct 16, 2028?",Memory Boundary,correct,20,1,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
1942,12:19:1,"Given Joseph's newfound appreciation for live performances, what type of music event might he explore next after May 25, 2029?",Generalization & Application,omission,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
1943,12:19:2,"Did Joseph's dislike for auto-tuned pop songs remain unchanged after the concert on May 25, 2029?",Memory Conflict,omission,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
1944,12:19:3,"What is Joseph's friend's name who recommended the concert on May 25, 2029?",Memory Boundary,correct,20,1,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
1945,12:22:1,"Did Joseph Garcia express disinterest in games with user-driven narratives on January 2, 2030?",Memory Conflict,omission,20,2,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1946,12:22:2,"What type of leisure activity might Joseph Garcia enjoy exploring in the future, based on his interest in user-driven narratives as of 2030-01-02?",Generalization & Application,omission,20,2,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1947,12:22:3,"What type of games did Joseph Garcia discover on January 2, 2030?",Basic Fact Recall,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1948,12:23:1,"What is Joseph Garcia's employment status as of May 01, 2029?",Basic Fact Recall,hallucination,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
1949,12:23:2,"Who joined Joseph Garcia's social network as a business partner on January 01, 2030?",Basic Fact Recall,omission,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
1950,12:23:3,"What was Joseph Garcia's mental health status on October 01, 2029?",Basic Fact Recall,hallucination,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
1951,12:23:4,"What is Joseph Garcia's current mental health status as of October 01, 2029?",Dynamic Update,hallucination,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
1952,12:23:5,"What is Joseph Garcia's latest plan for expanding his film archive as of April 01, 2030?",Dynamic Update,omission,20,2,6,"shared topic/object tokens: film; negation/contrast cues: left, unemployed; temporal/update cues overlap with question timing"
1953,12:23:6,Did Joseph Garcia's monthly income increase to 5000 yuan when he launched his film archive?,Memory Conflict,correct,20,1,4,"shared topic/object tokens: film, monthly; negation/contrast cues: left, unemployed"
1954,12:23:7,"Did Joseph Garcia feel relaxed after launching his film archive on May 01, 2029?",Memory Conflict,omission,20,2,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1955,12:23:8,"Did Joseph Garcia's stress levels decrease due to his entrepreneurship on Oct 01, 2029?",Memory Conflict,omission,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
1956,12:23:9,"Did Joseph Garcia's film archive fail to launch educational programs by Apr 01, 2030?",Memory Conflict,correct,20,2,6,"shared topic/object tokens: film; negation/contrast cues: left, unemployed; temporal/update cues overlap with question timing"
1957,12:24:1,"What new project might Joseph Garcia undertake at the film archive after August 12, 2030?",Generalization & Application,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1958,12:24:2,"What documentary did Joseph Garcia watch on Aug 12, 2030?",Basic Fact Recall,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1959,12:24:3,"What is Joseph Garcia's new sports interest as of Aug 12, 2030?",Basic Fact Recall,omission,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
1960,12:25:1,"How might Joseph Garcia's interest in sustainable fashion influence his choice of travel destinations after March 21, 2031?",Generalization & Application,omission,20,2,5,"shared topic/object tokens: fashion; negation/contrast cues: avoids, not; weak preference contrast"
1961,12:25:2,"What is Joseph Garcia's middle name as of Mar 21, 2031?",Memory Boundary,correct,20,1,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
1962,12:25:3,"Did Joseph Garcia express a preference for fast fashion on Mar 21, 2031?",Memory Conflict,correct,20,2,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1963,12:28:1,"Did Joseph Garcia decide to focus solely on reading about classic Hollywood stars after October 29, 2031?",Memory Conflict,correct,20,3,9,"shared topic/object tokens: classic, hollywood; shared entity/name anchor; negation/contrast cues: left, unemployed; temporal/update cues overlap with question timing"
1964,12:28:2,"What type of educational programs might Joseph Garcia create after Oct 29, 2031, given his interest in filmmakers?",Generalization & Application,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1965,12:28:3,"What type of biographies did Joseph Garcia express interest in on Oct 29, 2031?",Basic Fact Recall,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1967,12:31:2,"Did Joseph Garcia express dissatisfaction with the feedback from his educational programs on Feb 15, 2032?",Memory Conflict,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1968,12:31:3,"Did Joseph Garcia abandon his film archive when he transitioned to education on Aug 21, 2031?",Memory Conflict,correct,20,2,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1969,12:31:4,"What new interactive elements might Joseph integrate into his film workshops after February 15, 2032?",Generalization & Application,omission,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
1971,12:31:6,"What might Joseph's exploratory motivation lead him to do in his educational role after October 15, 2031?",Generalization & Application,correct,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
1972,12:31:7,"How might Joseph's gratitude towards his mentors influence his educational approach after January 10, 2032?",Generalization & Application,omission,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
1973,12:32:1,"What event did Joseph Garcia attend on June 7, 2032?",Basic Fact Recall,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1974,12:32:2,"Did Joseph Garcia decide to stop drinking Earl Grey tea after the event on June 7, 2032?",Memory Conflict,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1976,12:33:1,"What type of music does Joseph Garcia appreciate as of January 14, 2033?",Basic Fact Recall,hallucination,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1977,12:33:2,"How might Joseph Garcia's appreciation for contemporary film scores influence his film education programs after Jan 14, 2033?",Generalization & Application,omission,20,3,8,"shared topic/object tokens: film, scor; negation/contrast cues: dislikes; possible preference polarity reversal"
1979,12:34:1,"What type of games does Joseph Garcia enjoy playing as of Aug 24, 2033?",Basic Fact Recall,correct,20,2,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1980,12:34:2,"How might Joseph Garcia use remastered games in educational workshops on Aug 24, 2033?",Generalization & Application,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1981,12:34:3,"Did Joseph Garcia dislike the remastered classic adventure games he played on August 24, 2033?",Memory Conflict,omission,20,9,7,"shared topic/object tokens: classic, play; possible preference polarity reversal"
1982,12:38:1,"How might Joseph Garcia integrate competitive ballroom dancing into his classic cinema programs after April 04, 2034?",Generalization & Application,omission,20,2,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1984,12:39:1,"What new strategies might Joseph Garcia use to manage stress from his educational outreach after March 20, 2034?",Generalization & Application,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1985,12:39:2,"What methods might Joseph Garcia use to maintain program quality despite increased workload as of Jan 11, 2034?",Generalization & Application,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1986,12:39:3,"What philosophical aspects of education might Joseph Garcia consider integrating into his programs after March 20, 2034?",Generalization & Application,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1987,12:39:4,"How might Joseph Garcia's mentors and colleagues influence his educational programs as of June 15, 2034?",Generalization & Application,omission,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
1988,12:39:5,"What is Joseph Garcia's middle name as of Nov 15, 2033?",Memory Boundary,correct,20,1,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
1989,12:39:6,"What is the specific salary of Joseph Garcia on Jan 10, 2034?",Memory Boundary,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1990,12:39:7,"What was Joseph Garcia's blood type on Mar 20, 2034?",Memory Boundary,correct,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
1991,12:39:8,"Who is Joseph Garcia's closest family member as of Jun 15, 2034?",Memory Boundary,omission,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
1992,12:39:9,"What specific historical event did Joseph Garcia attend before Nov 15, 2033?",Memory Boundary,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1993,12:40:1,"Based on Joseph Garcia's evolving fashion preferences, what kind of event attire might he choose for a social gathering on Nov 20, 2034?",Generalization & Application,hallucination,20,2,6,"shared topic/object tokens: event, social; possible event completion vs plan/alternative contrast"
1994,12:40:2,"What is Joseph Garcia's evolving preference in clothing as of Nov 10, 2034?",Basic Fact Recall,omission,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
1995,12:40:3,"Did Joseph Garcia refuse to integrate trendy pieces into his wardrobe during the shopping trip on Nov 10, 2034?",Memory Conflict,omission,20,2,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1996,12:43:1,"What is Joseph Garcia's middle name as of Jun 20, 2035?",Memory Boundary,correct,20,1,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
1997,12:43:2,"How might Joseph's shift to cinema history books influence his creative projects after June 20, 2035?",Generalization & Application,omission,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
1998,12:43:3,"What reading preference did Joseph Garcia express on Jun 20, 2035?",Basic Fact Recall,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
1999,12:46:1,"What is the name of Joseph Garcia's film archive as of April 15, 2035?",Basic Fact Recall,omission,20,2,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
2000,12:46:2,"What health condition is Joseph Garcia managing while expanding his film archive as of June 01, 2035?",Basic Fact Recall,correct,20,2,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2001,12:46:3,"What is Joseph Garcia's job title as of April 15, 2035?",Basic Fact Recall,hallucination,20,2,6,"shared topic/object tokens: job; negation/contrast cues: left, unemployed; temporal/update cues overlap with question timing"
2006,12:46:8,"How did Joseph's career change between Apr 15, 2035, and Jun 01, 2035?",Multi-hop Inference,omission,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
2008,12:46:10,"What role does Joseph's network play in his film archive expansion as of Oct 01, 2035?",Multi-hop Inference,omission,20,3,5,shared entity/name anchor; temporal/update cues overlap with question timing
2010,12:46:12,"How did Joseph's film archive diversification impact his audience engagement by Dec 01, 2035?",Multi-hop Inference,omission,20,1,4,"shared topic/object tokens: archive, film; temporal/update cues overlap with question timing"
2011,12:47:1,"What is Joseph Garcia's updated beverage preference as of Jan 27, 2036?",Basic Fact Recall,omission,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
2012,12:47:2,"What event did Joseph Garcia attend on Jan 27, 2036, that influenced his beverage preferences?",Basic Fact Recall,omission,20,2,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2014,12:48:1,"Did Joseph Garcia dislike symphonic metal and refuse to incorporate it into his playlists on Sep 05, 2036?",Memory Conflict,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2015,12:48:2,How might Joseph Garcia incorporate symphonic metal into his educational programs as of 2036-09-05?,Generalization & Application,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2016,12:48:3,"What genre of music did Joseph Garcia reconsider after being introduced to symphonic metal on Sep 05, 2036?",Basic Fact Recall,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2017,12:51:1,"What type of games might Joseph Garcia explore after April 15, 2037, based on his interests?",Generalization & Application,hallucination,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2018,12:51:2,"What is Joseph's friend's name who recommended the first-person shooter game on Apr 15, 2037?",Memory Boundary,correct,20,2,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
2019,12:51:3,"What type of first-person shooters does Joseph Garcia now like as of April 15, 2037?",Basic Fact Recall,omission,20,2,6,"shared topic/object tokens: first, person, shooter; negation/contrast cues: dislikes; weak preference contrast"
2020,12:52:1,"What is Joseph Garcia's current mental health status as of April 01, 2037?",Dynamic Update,hallucination,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
2021,12:52:2,"What strategies did Joseph Garcia implement to manage stress due to increased responsibilities after April 01, 2037?",Multi-hop Inference,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2022,12:52:3,"What award did Joseph Garcia receive on February 15, 2037?",Basic Fact Recall,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2023,12:52:4,"What is Joseph Garcia's goal for his educational programs as of June 01, 2037?",Basic Fact Recall,hallucination,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
2024,12:52:5,"What health condition does Joseph Garcia manage as of April 01, 2037?",Basic Fact Recall,correct,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2025,12:53:1,"Did Joseph Garcia decide to focus on synchronized swimming to enhance his film archive on Nov 22, 2037?",Memory Conflict,correct,20,5,7,"shared topic/object tokens: film, swimm, synchroniz; possible event completion vs plan/alternative contrast"
2027,12:53:3,"What sport did Joseph Garcia decide to remove from his preferences on Nov 22, 2037?",Basic Fact Recall,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2028,12:54:1,"What clothing preference did Joseph Garcia update on July 02, 2038?",Basic Fact Recall,omission,20,2,7,"shared topic/object tokens: garcia, july; shared entity/name anchor; temporal/update cues overlap with question timing"
2030,12:54:3,"Did Joseph Garcia completely reject athleisure wear on Jul 02, 2038?",Memory Conflict,hallucination,20,2,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2031,12:55:1,"Did Joseph Garcia decide to focus on modern cinema techniques for his educational programs on Feb 09, 2039?",Memory Conflict,correct,20,2,8,"shared topic/object tokens: cinema, educational, focu, modern; possible event completion vs plan/alternative contrast"
2034,12:60:1,What new musical genre might Joseph explore next based on his interest in jazz fusion as of 2040-04-27?,Generalization & Application,omission,20,2,7,shared topic/object tokens: jazz; negation/contrast cues: dislikes; possible preference polarity reversal
2037,12:61:1,"Did Joseph Garcia express dissatisfaction with the creative freedom provided by online education on March 1, 2040?",Memory Conflict,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2038,12:61:2,"Did Joseph Garcia plan to reduce his digital outreach after receiving negative feedback on June 15, 2040?",Memory Conflict,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2041,12:61:5,"What was Joseph Garcia's salary during his time at the Film Archive before Sep 10, 2039?",Memory Boundary,correct,20,3,6,"shared topic/object tokens: film; negation/contrast cues: left, unemployed; temporal/update cues overlap with question timing"
2043,12:61:7,"What specific digital platform did Joseph Garcia choose for his online courses by Jun 15, 2040?",Memory Boundary,correct,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2044,12:61:8,"What was the exact number of people Joseph Garcia educated about cinema history by Dec 01, 2039?",Memory Boundary,correct,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2046,12:62:2,"What type of film education approach might Joseph Garcia adopt after Dec 05, 2040?",Generalization & Application,correct,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2047,12:62:3,"Did Joseph Garcia prefer puzzle games with a vintage theme over interactive storytelling on Dec 05, 2040?",Memory Conflict,omission,20,5,8,"shared topic/object tokens: gam, prefer, puzzle, storytell, vintage; negation/contrast cues: dislikes; weak preference contrast"
2048,12:63:1,"Did Joseph Garcia decide to wear tailored suits more frequently as of July 14, 2041?",Memory Conflict,omission,20,3,7,"shared topic/object tokens: garcia, july; shared entity/name anchor; temporal/update cues overlap with question timing"
2049,12:63:2,"What type of wardrobe pieces did Joseph Garcia decide to focus on due to the rise of casual work environments as of Jul 14, 2041?",Basic Fact Recall,omission,20,2,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2050,12:63:3,"What is Joseph Garcia's sentiment towards tailored suits as expressed on Jul 14, 2041?",Basic Fact Recall,hallucination,20,2,5,shared entity/name anchor; temporal/update cues overlap with question timing
2051,12:67:1,"What strategies did Joseph Garcia employ to balance his health needs with VR education expansion by Dec 20, 2041?",Multi-hop Inference,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2052,12:67:2,"What is Joseph Garcia's latest job title as of Aug 15, 2041?",Dynamic Update,hallucination,20,2,6,"shared topic/object tokens: job; negation/contrast cues: left, unemployed; temporal/update cues overlap with question timing"
2053,12:67:3,"What health conditions is Joseph Garcia managing during his VR education expansion as of Sep 20, 2041?",Dynamic Update,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2054,12:67:4,"What feedback did Joseph Garcia receive about his VR educational programs on Dec 20, 2041?",Dynamic Update,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2055,12:67:5,"What is Joseph Garcia's career status as of Aug 15, 2041?",Basic Fact Recall,omission,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
2056,12:67:6,"What health conditions is Joseph Garcia managing as of Sep 20, 2041?",Basic Fact Recall,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2057,12:67:7,"What feedback did Joseph Garcia receive on Dec 20, 2041, regarding his VR educational programs?",Basic Fact Recall,omission,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2061,12:68:2,"Did Joseph Garcia express a preference for espresso over cold brew coffee on February 21, 2042?",Memory Conflict,correct,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2062,12:68:3,"What beverage does Joseph Garcia prefer as of February 21, 2042?",Basic Fact Recall,hallucination,20,1,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2063,12:69:1,"How might Joseph Garcia's interest in international film scores influence his educational programs after Oct 01, 2042?",Generalization & Application,omission,20,1,5,shared entity/name anchor; temporal/update cues overlap with question timing
2064,12:69:2,What type of film scores does Joseph Garcia now prefer?,Basic Fact Recall,hallucination,20,2,8,"shared topic/object tokens: film, scor; negation/contrast cues: dislikes; possible preference polarity reversal"
2065,12:69:3,"What is Joseph Garcia's favorite international film score composer as of Oct 01, 2042?",Memory Boundary,omission,20,3,7,shared topic/object tokens: film; negation/contrast cues: dislikes; possible preference polarity reversal
2066,12:70:1,"What type of games does Joseph Garcia prefer as of May 10, 2043?",Basic Fact Recall,hallucination,20,3,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2067,12:70:2,"On May 10, 2043, did Joseph Garcia express a preference for puzzle games over action games?",Memory Conflict,omission,20,4,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2069,12:73:1,"What is Joseph Garcia's middle name as of December 18, 2043?",Memory Boundary,correct,20,2,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
2071,12:73:3,"What beverage did Joseph Garcia prefer after attending the wellness retreat on December 18, 2043?",Basic Fact Recall,omission,20,2,6,shared topic/object tokens: garcia; shared entity/name anchor; temporal/update cues overlap with question timing
2072,12:75:1,"What is Joseph Garcia's current job title as of Aug 01, 2043?",Dynamic Update,hallucination,20,2,6,"shared topic/object tokens: job; negation/contrast cues: left, unemployed; temporal/update cues overlap with question timing"
2073,12:75:2,"What industry is Joseph Garcia currently consulting in as of Aug 01, 2043?",Dynamic Update,omission,20,3,7,"shared topic/object tokens: currently, garcia; shared entity/name anchor; temporal/update cues overlap with question timing"
2074,12:75:3,"What motivates Joseph Garcia's consulting actions as of Oct 15, 2043?",Dynamic Update,hallucination,20,2,6,"shared topic/object tokens: motivat; negation/contrast cues: left, unemployed; temporal/update cues overlap with question timing"
2075,12:75:4,"What new opportunities might Joseph explore in his consulting work after June 20, 2044?",Generalization & Application,omission,20,4,6,"shared topic/object tokens: new, work; possible event completion vs plan/alternative contrast"
2078,12:75:7,"What was Joseph Garcia's salary in his role as a VR Film Educator before August 01, 2043?",Memory Boundary,omission,20,3,6,"shared topic/object tokens: film; negation/contrast cues: left, unemployed; temporal/update cues overlap with question timing"
2080,13:1:2,Is Sharon Brown's partner status single as of September 2025?,Memory Conflict,correct,20,2,7,"shared topic/object tokens: september, sharon; shared entity/name anchor; temporal/update cues overlap with question timing"
2081,13:1:3,"What is Sharon Brown's middle name as of Sep 04, 2025?",Memory Boundary,correct,20,2,7,"shared topic/object tokens: name, sharon; shared entity/name anchor; temporal/update cues overlap with question timing"
2083,13:2:2,"As of Sep 05, 2025, is Sharon Brown unemployed and working in the finance industry?",Memory Conflict,correct,20,2,7,"shared topic/object tokens: brown, sharon; shared entity/name anchor; temporal/update cues overlap with question timing"
2084,13:2:3,"What is Sharon Brown's job title as of September 5, 2025?",Basic Fact Recall,correct,20,2,7,"shared topic/object tokens: september, sharon; shared entity/name anchor; temporal/update cues overlap with question timing"
2086,13:3:2,"What sports does Sharon Brown dislike as of Sep 06, 2025?",Basic Fact Recall,correct,20,6,7,"shared topic/object tokens: brown, sharon; shared entity/name anchor; temporal/update cues overlap with question timing"
2087,13:3:3,"What type of music does Sharon Brown dislike as of Sep 06, 2025?",Basic Fact Recall,correct,20,3,7,"shared topic/object tokens: brown, sharon; shared entity/name anchor; temporal/update cues overlap with question timing"
2088,13:7:1,"What is Sharon Brown's middle name as of January 1, 2026?",Memory Boundary,omission,20,2,7,"shared topic/object tokens: name, sharon; shared entity/name anchor; temporal/update cues overlap with question timing"
2089,13:7:2,"What was Sharon Brown's exact weight on December 15, 2025?",Memory Boundary,correct,20,3,7,"shared topic/object tokens: 2025, december; shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing"
2091,13:7:4,What financial advice could benefit Sharon after her retirement in December 2025?,Generalization & Application,correct,20,3,7,"shared topic/object tokens: 2025, december; shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing"
2094,13:7:7,Did Sharon Brown retire to focus solely on her sports career?,Memory Conflict,correct,20,1,4,"shared topic/object tokens: sport; negation/contrast cues: avoids, rather than"
2095,13:7:8,"Did Sharon Brown's social network decrease after her retirement on Dec 03, 2025?",Memory Conflict,correct,20,3,6,shared topic/object tokens: sharon; shared entity/name anchor; temporal/update cues overlap with question timing
2097,13:8:2,What is the exact date when Sharon Brown plans to start offering golf at her academy?,Memory Boundary,omission,20,1,6,"shared topic/object tokens: academy, plan; possible event completion vs plan/alternative contrast"
